data_sn,refresh
2217,220.51897540000002
2218,215.8605918
2219,220.50052209999998
2220,230.1091866
2221,228.86440660000002
2222,228.2719097
2223,223.5212818
2224,221.53572400000002
2225,221.6857355
2226,218.3183661
2227,222.67322819999995
2228,216.6930894
2229,219.4107056
2230,214.0281244
2231,221.9545952
2232,215.3997424
2233,226.1146117
2234,219.7900801
2235,215.55338569999998
2236,229.96683450000003
2237,227.81222569999997
2238,223.53894780000002
2239,224.8628031
2240,206.709119
2241,198.75589399999998
2242,209.9659245
2243,201.718651
2244,201.7657854
2245,211.49242719999998
2246,211.31828969999998
2247,203.8205255
2248,205.5512813
2249,198.8133264
2250,199.9806804
2251,196.50024480000002
2252,196.2944761
2253,216.50756859999998
2254,216.1704869
2255,216.3325406
2256,201.7835427
2257,200.3403678
2258,207.1191065
2259,214.63423619999998
2260,217.26697290000004
2261,215.8649833
2262,202.84954950000002
2263,209.2731913
2264,207.89793219999999
2265,211.0085991
2266,202.4008805
2267,209.8940631
2268,215.0023042
2269,210.09894649999998
2270,210.5027605
2271,213.3775191
2272,210.21766519999997
2273,210.6641994
2274,210.71193019999995
2275,214.4796432
2276,208.18776830000002
2277,210.9729454
2278,218.8022499
2279,213.4418285
2280,212.6706635
2281,209.5908695
2282,207.9471645
2283,205.1859148
2284,196.61987219999997
2285,193.1868658
2286,192.24536609999998
2287,196.5971723
2288,196.81409730000001
2289,199.83990419999998
2290,199.5069554
2291,200.4591006
2292,207.0976126
2293,205.6371646
2294,196.8848416
2295,199.9306833
2296,194.67511149999999
2297,215.50651549999998
2298,217.48114840000002
2299,218.1323872
2300,217.08579709999998
2301,210.35391569999996
2302,208.66053119999998
2303,207.01826830000002
2304,207.0988156
2305,182.72356330000002
2306,181.9578448
2307,178.8223485
2308,174.9244699
2309,175.7047025
2310,171.78957150000002
2311,172.706646
2312,171.10475659999997
